"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"3406","Kuwait",1996,19,NA,1,2,19,4,2,NA
"3409","Kuwait",1999,22,NA,1,2,22,4,2,NA
"3413","Kuwait",2003,26,NA,1,2,26,4,2,NA
"3416","Kuwait",2006,29,NA,1,2,29,4,2,NA
"3418","Kuwait",2008,2,NA,1,10,2,4,2,NA
"3419","Kuwait",2009,3,NA,1,10,3,4,2,NA
"3422","Kuwait",2012,6,NA,1,10,6,4,2,NA
"3440","Laos",1992,1,17,1,NA,1,3.5,3,NA
"3445","Laos",1997,1,22,1,6.09999990463257,1,4,3,NA
"3450","Laos",2002,6,27,1,6.09999990463257,6,4,3,NA
"3454","Laos",2006,10,31,1,6.3899998664856,10,5.5,3,NA
"3459","Laos",2011,5,36,1,6.3899998664856,5,5.5,3,NA
"3482","Lebanon",1996,7,7,1,25.6000003814697,7,6,4,0
"3486","Lebanon",2000,2,NA,1,25.6000003814697,2,7,4,0
"3491","Lebanon",2005,7,NA,1,27.6000003814697,7,7,4,0
"3495","Lebanon",2009,1,1,1,4.90000009536743,1,7,4,NA
"3496","Lebanon",2010,2,2,1,4.90000009536743,2,7,4,NA
"3499","Liberia",1975,4,97,1,NA,4,4,3.5,0
"3509","Liberia",1985,5,1,1,NA,5,1,2,NA
"3521","Liberia",1997,1,NA,1,NA,1,1,2,NA
"3529","Liberia",2005,2,NA,1,NA,2,1,1,NA
"3535","Liberia",2011,6,6,1,1,6,7,7,NA
"3574","Libya",2012,43,NA,1,NA,43,2,2,NA
"3575","St. Lucia",1975,NA,NA,NA,NA,NA,NA,NA,NA
"3576","St. Lucia",1976,NA,NA,NA,NA,NA,NA,NA,NA
"3577","St. Lucia",1977,NA,NA,NA,NA,NA,NA,NA,NA
"3578","St. Lucia",1978,NA,NA,NA,NA,NA,NA,NA,NA
"3579","St. Lucia",1979,NA,NA,NA,NA,NA,NA,NA,NA
"3582","St. Lucia",1982,1,3,1,1,3,7,7,NA
"3587","St. Lucia",1987,5,5,1,1,1,7,7,NA
"3592","St. Lucia",1992,10,10,1,1,6,7,7,NA
"3597","St. Lucia",1997,15,15,1,1,11,7,7,NA
"3601","St. Lucia",2001,4,4,1,1,4,6,7,NA
"3606","St. Lucia",2006,9,9,1,1,9,6,7,NA
"3611","St. Lucia",2011,4,14,1,1,5,7,7,NA
"3615","Sri Lanka",1977,7,7,1,1,30,7,7,0
"3626","Sri Lanka",1988,11,11,1,NA,11,6,7,0
"3627","Sri Lanka",1989,1,12,1,11.5,1,6,7,0
"3632","Sri Lanka",1994,1,17,1,11.5,5,7,7,0
"3639","Sri Lanka",2001,8,7,1,11.5,12,7,7,0
"3642","Sri Lanka",2004,11,10,1,11.5,15,7,7,0
"3648","Sri Lanka",2010,5,5,1,9.80000019073486,21,7,7,12.5
"3669","Lesotho",1993,2,NA,1,NA,2,1,2,NA
"3674","Lesotho",1998,5,5,1,1,5,6,6,NA
"3678","Lesotho",2002,4,4,1,1,4,6,6,NA
"3683","Lesotho",2007,9,9,1,14,9,7,6,0
"3688","Lesotho",2012,14,14,1,14,5,7,7,0
"3689","Lithuania",1975,NA,NA,NA,NA,NA,NA,NA,NA
"3690","Lithuania",1976,NA,NA,NA,NA,NA,NA,NA,NA
"3691","Lithuania",1977,NA,NA,NA,NA,NA,NA,NA,NA
"3692","Lithuania",1978,NA,NA,NA,NA,NA,NA,NA,NA
"3693","Lithuania",1979,NA,NA,NA,NA,NA,NA,NA,NA
"3694","Lithuania",1980,NA,NA,NA,NA,NA,NA,NA,NA
"3695","Lithuania",1981,NA,NA,NA,NA,NA,NA,NA,NA
